date,total_pnl,avg_pnl_per_trade,trade_count,total_volume_usd,avg_size_usd,unique_accounts,sentiment,sentiment_bucket,fg_value,win_rate
2023-05-01,0.0,0.0,3,477.0,159.0,1,Greed,Greed,63,0.0
2023-12-05,0.0,0.0,9,50005.83,5556.203333333334,1,Extreme Greed,Greed,75,0.0
2023-12-14,-205.43473700000007,-18.675885181818188,11,113203.35,10291.213636363636,1,Greed,Greed,72,0.36363636363636365
2023-12-15,-24.632033999999997,-12.316016999999999,2,10609.95,5304.975,1,Greed,Greed,70,0.0
2023-12-16,0.0,0.0,3,15348.77,5116.256666666667,1,Greed,Greed,67,0.0
2023-12-17,304.982785,21.78448464285714,14,116278.02,8305.572857142857,1,Greed,Greed,73,0.5
2023-12-18,0.0,0.0,2,31164.179999999997,15582.089999999998,1,Greed,Greed,65,0.0
2023-12-19,1000.5386120000001,66.70257413333334,15,91602.41,6106.827333333334,1,Greed,Greed,73,0.6666666666666666
2023-12-20,162.732282,9.040682333333333,18,141636.79,7868.710555555556,1,Greed,Greed,74,0.4444444444444444
2023-12-21,537.211402,10.963498000000001,49,125233.97,2555.795306122449,1,Greed,Greed,70,0.5306122448979592
2023-12-22,141.832675,14.1832675,10,88874.28,8887.428,1,Greed,Greed,74,0.2
2023-12-23,146.936704,11.302823384615383,13,78438.25,6033.711538461538,1,Greed,Greed,70,0.6153846153846154
2023-12-24,1008.619956,25.862050153846155,39,402954.94,10332.177948717948,1,Greed,Greed,71,0.38461538461538464
2023-12-25,-245.081348,-81.69378266666666,3,59948.51,19982.836666666666,1,Greed,Greed,73,0.0
2023-12-27,-704.8892269999999,-25.174615249999995,28,171411.06,6121.823571428571,1,Greed,Greed,73,0.14285714285714285
2023-12-28,-970.730876,-42.20569026086957,23,100117.25,4352.923913043478,1,Greed,Greed,73,0.0
2023-12-29,508.92214299999995,10.178442859999999,50,569559.72,11391.1944,1,Greed,Greed,65,0.3
2023-12-30,354.998648,6.826897076923077,52,702550.21,13510.58096153846,1,Greed,Greed,68,0.4423076923076923
2024-01-01,-129.53146,-7.196192222222223,18,264239.52999999997,14679.973888888888,1,Greed,Greed,65,0.05555555555555555
2024-01-02,783.979116,46.11641858823529,17,121348.74,7138.1611764705885,1,Greed,Greed,71,0.47058823529411764
2024-01-03,866.015507,12.925604582089552,67,394499.36,5888.050149253731,1,Greed,Greed,70,0.417910447761194
2024-01-04,-67.60364,-13.520728,5,99792.54000000001,19958.508,1,Greed,Greed,68,0.0
2024-01-05,164.141565,2.486993409090909,66,1703942.66,25817.31303030303,1,Greed,Greed,72,0.19696969696969696
2024-01-06,135.58166400000002,6.16280290909091,22,298521.4,13569.154545454547,1,Greed,Greed,70,0.45454545454545453
2024-01-07,-835.681235,-8.615270463917525,97,1048850.06,10812.887216494846,1,Greed,Greed,71,0.09278350515463918
2024-01-08,-269.874439,-2.1083940546875,128,1522452.43,11894.159609375,1,Greed,Greed,71,0.25
2024-01-09,-826.349863,-11.804998042857143,70,870051.97,12429.313857142857,1,Extreme Greed,Greed,76,0.2571428571428571
2024-01-10,-1517.091342,-7.860576901554404,193,2057479.48,10660.515440414507,1,Greed,Greed,73,0.21243523316062177
2024-01-11,-164.08950099999998,-7.813785761904761,21,305314.1,14538.766666666666,2,Extreme Greed,Greed,76,0.23809523809523808
2024-01-12,-1925.519024,-275.0741462857143,7,200082.27,28583.181428571428,1,Greed,Greed,71,0.0
2024-01-15,152.85358,10.918112857142857,14,50636.1,3616.8642857142854,2,Neutral,Neutral,52,0.6428571428571429
2024-01-16,-2299.171458,-255.4634953333333,9,116427.33,12936.37,2,Greed,Greed,64,0.3333333333333333
2024-01-17,813.2741110000001,15.344794547169812,53,800831.03,15110.019433962265,1,Greed,Greed,60,0.20754716981132076
2024-01-18,68.93319,1.4985476086956522,46,424631.52999999997,9231.120217391304,1,Greed,Greed,63,0.06521739130434782
2024-01-19,-385.419235,-8.029567395833334,48,428428.97,8925.603541666665,2,Neutral,Neutral,51,0.125
2024-01-20,-146.57487000000003,-1.3827817924528305,106,1070090.51,10095.193490566038,1,Neutral,Neutral,52,0.14150943396226415
2024-01-21,266.58114600000005,24.234649636363642,11,103129.74,9375.43090909091,1,Greed,Greed,56,0.2727272727272727
